LOCATION,IMAGE,ROTATION,LONGITUDE,LATITUDE
56 Ave And King George Blvd,http://images.drivebc.ca/bchighwaycam/pub/cameras/104.jpg,320,-122.8357098,49.10554357
56 Ave And King George Blvd,http://images.drivebc.ca/bchighwaycam/pub/cameras/103.jpg,120,-122.8351017,49.10516444
56 Ave And 152 St,http://images.drivebc.ca/bchighwaycam/pub/cameras/82.jpg,270,-122.801663,49.10441869
56 Ave And 152 St,http://images.drivebc.ca/bchighwaycam/pub/cameras/80.jpg,90,-122.8003975,49.10441651
56 Ave And 152 St,http://images.drivebc.ca/bchighwaycam/pub/cameras/81.jpg,180,-122.8010245,49.10414956
Fraser Hwy And 176 St,http://images.drivebc.ca/bchighwaycam/pub/cameras/94.jpg,180,-122.734731,49.13778797
Fraser Hwy And 176 St,http://images.drivebc.ca/bchighwaycam/pub/cameras/95.jpg,300,-122.7352689,49.13835145
Fraser Hwy And 176 St,http://images.drivebc.ca/bchighwaycam/pub/cameras/93.jpg,125,-122.7342902,49.13795402
72 Ave And 196 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_72_196_cam1.jpg,0,-122.6795767,49.13361013
105A Ave And Whalley Blvd,http://cosmos.surrey.ca/TrafficCameraImages/enc_105a_whalley_cam1.jpg,0,-122.8424194,49.19442147
60 Ave And 172 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_60_172_cam1.jpg,0,-122.7460278,49.11151586
105A Ave And University Dr,http://cosmos.surrey.ca/TrafficCameraImages/enc_105a_university_cam1.jpg,0,-122.8508667,49.19446477
